anio,source_file,entity_name,entity_normalized_name
2023,seguros-en-cifra-2023.xlsx,"Mercantil Financiadora de Primas, C.A.",mercantil financiadora de primas c a
2023,seguros-en-cifra-2023.xlsx,C.A. Reaseguradora Internacional de Venezuela RIV,c a reaseguradora internacional de venezuela riv
2023,seguros-en-cifra-2023.xlsx,"Kairos de Reaseguros, C.A.",kairos de reaseguros c a
2023,seguros-en-cifra-2023.xlsx,"Provincial de Reaseguros, C.A",provincial de reaseguros c a
2023,seguros-en-cifra-2023.xlsx,"Reaseguradora Delta, C.A.",reaseguradora delta c a
2023,seguros-en-cifra-2023.xlsx,Valor del Mercado Reasegurador,valor del mercado reasegurador
2023,seguros-en-cifra-2023.xlsx,EMPRESAS,empresas
2023,seguros-en-cifra-2023.xlsx,"Pro Fin P.S 27 Financiadora de Primas, C.A.",pro fin p s 27 financiadora de primas c a
2023,seguros-en-cifra-2023.xlsx,"Univerprima, C.A Financiadora de Primas",univerprima c a financiadora de primas
2023,seguros-en-cifra-2023.xlsx,"(1), (2), (3), (4) Y (5) Ver Notas Finales",1 2 3 4 y 5 ver notas finales
